ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00074,9,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,777.0,80,KILOGRAMO,12,1.0,770.0,00,20.0,00,15400.0,20.0,7.0,80,0.0,00,
2021.0,20,PIURA,06,SULLANA,04,LANCONES,00161,00082,10,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,1111.0,10,KILOGRAMO,12,1.0,1000.0,00,20.0,00,20000.0,20.0,111.0,10,0.0,00,
2021.0,20,PIURA,06,SULLANA,01,SULLANA,00237,00059,4,Completa,Costa,Costa Norte,138.07692307692304,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,15.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,15.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,10,SUYO,00258,00097,13,Completa,Costa,Costa Norte,138.07692307692307,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,80,KILOGRAMO,12,1.0,0.0,00,,,,,10.0,80,0.0,00,
2021.0,20,PIURA,02,AYABACA,10,SUYO,00259,00010,1,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,70.0,00,KILOGRAMO,12,1.0,55.0,00,18.0,00,990.0,18.0,15.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,10,SUYO,00259,00064,7,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,20.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,10,SUYO,00259,00103,12,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,63.0,00,KILOGRAMO,12,1.0,30.0,00,15.0,00,450.0,15.0,33.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,10,SUYO,00259,00120,14,Completa,Costa,Costa Norte,128.2142857142857,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,3,3,1.0,QUESO,4208.0,45.0,00,KILOGRAMO,12,1.0,10.0,00,10.0,00,100.0,10.0,35.0,00,0.0,00,
2021.0,20,PIURA,02,AYABACA,09,SICCHEZ,00284,00128,10,Completa,Costa,Costa Norte,128.21428571428572,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,9.0,00,KILOGRAMO,12,1.0,0.0,00,,,,,6.0,00,3.0,00,
2021.0,20,PIURA,02,AYABACA,01,AYABACA,00286,00009,1,Completa,Sierra,Sierra Norte,74.60714285714286,Pequeños y medianos productores/as agropecuarios/as,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,KILOGRAMO,12,1.0,40.0,00,15.0,00,600.0,15.0,0.0,00,0.0,00,
