ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2022.0,20,PIURA,02,AYABACA,08,SAPILLICA,00394,00083,13,Completa,Costa,Costa Norte,114.7687074829932,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,30.0,00,KILOGRAMO,12.0,1.0,25.0,00,25.0,00,625.0,25.0,5.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00073,6,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,5.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,5.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,04,LAGUNAS,00401,00101,10,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,00,KILOGRAMO,12.0,1.0,0.0,00,,,,,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00006,1,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,20.0,00,KILOGRAMO,12.0,1.0,5.0,00,20.0,00,100.0,20.0,13.0,00,2.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00411,00087,14,Completa,Sierra,Sierra Norte,91.72544642857142,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,10.0,00,15.0,00,150.0,15.0,30.0,00,10.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00422,00032,6,Completa,Sierra,Sierra Norte,85.61041666666667,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,100.0,00,KILOGRAMO,12.0,1.0,50.0,00,25.0,00,1250.0,25.0,50.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00037,1,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,UNIDAD,24.0,1.0,30.0,00,20.0,00,600.0,20.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00108,8,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,10.0,00,UNIDAD,24.0,1.0,10.0,00,18.0,00,180.0,18.0,0.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00111,9,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,40.0,00,UNIDAD,24.0,1.0,30.0,00,17.0,00,510.0,17.0,10.0,00,0.0,00,
2022.0,20,PIURA,02,AYABACA,06,PACAIPAMPA,00443,00116,11,Completa,Sierra,Sierra Norte,91.72544642857143,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,1,1,1.0,QUESO,4208.0,50.0,00,UNIDAD,24.0,1.0,20.0,00,18.0,00,360.0,18.0,20.0,00,10.0,00,
