ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1228_N,P1228_NOM,P1228_TIPO,P1229,OMICAP1200_EQUIPO
2022.0,21,PUNO,02,AZANGARO,01,AZANGARO,17136,00112,11,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,01,AZANGARO,17136,00137,12,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,01,AZANGARO,17136,00142,13,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,01,AZANGARO,17136,00159,14,Completa,Sierra,Sierra Sur,162.71904761904761,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00036,1,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00042,2,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00050,3,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,3.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00050,3,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,EMPACADORA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00050,3,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00052,4,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00061,5,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00067,6,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00067,6,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00070,7,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00070,7,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00075,8,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00075,8,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00101,9,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00101,9,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00103,10,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00109,11,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00110,12,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00122,13,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,2.0,MOTOGUADAÑA,Equipo,Propia?,
2022.0,21,PUNO,02,AZANGARO,14,SANTIAGO DE PUPUJA,17155,00122,13,Completa,Sierra,Sierra Sur,162.71904761904764,Pequeños y medianos productores/as agropecuarios/as,,¿Agrícola?,¿Pecuaria?,Pase,1.0,TRACTOR AGRICOLA,Maquinaria,Alquilada?,
